transaction_id,customer_id,amount,currency,merchant,category,timestamp,status,error_code,country,device_type,is_failed
46a60087-c1b1-4091-bc40-e01b3bb3faa4,C1325,440.97,JPY,Uber,Dining,2026-02-13 10:26:06.372220,success,NONE,DE,web,False
95e23fc4-bd03-4bdc-92af-a9b23640735e,C3499,473.71,USD,Target,Shopping,2026-05-21 10:26:06.372234,success,NONE,FR,web,False
bd8ec21c-c224-4a40-bf5e-c6a6620f6280,C1310,146.17,GBP,Uber,Travel,2025-09-28 10:26:06.372241,failed,NONE,US,tablet,True
6ef3fce4-331e-4f3b-b0c0-361a6f8d4222,C6640,219.32,GBP,Costco,Dining,2026-03-31 10:26:06.372246,success,NONE,US,web,False
ab4c070d-8c6e-4597-82c2-1e29e32b09f4,C5001,321.12,JPY,Walmart,Dining,2026-02-25 10:26:06.372251,success,NONE,US,mobile,False
2318b513-14ec-4882-8a78-caaac05a4c82,C8693,194.59,GBP,Apple,Dining,2026-05-19 10:26:06.372255,pending,NONE,CA,mobile,False
87bb1ae8-e760-40cc-9906-a693cdaf43b3,C5839,137.95,JPY,Costco,Utilities,2025-09-04 10:26:06.372259,failed,E001,JP,web,True
ea7af769-6cca-4b7f-910c-bf37f99b938d,C8973,201.46,JPY,Costco,Groceries,2026-02-05 10:26:06.372264,failed,E002,JP,web,True
6485f0c8-ee86-4fbd-bc03-b36705813dc6,C6658,447.96,EUR,Starbucks,Shopping,2026-01-27 10:26:06.372268,failed,E002,CA,tablet,True
d14f368a-0572-4673-9d0f-14dba490b45c,C2089,365.46,EUR,Apple,Shopping,2026-03-11 10:26:06.372272,success,NONE,JP,tablet,False
37818e25-7412-40c7-9f8f-5e3c17879386,C8282,443.34,USD,Target,Groceries,2026-06-12 10:26:06.372276,pending,NONE,FR,tablet,False
498fcd36-a517-4c36-91f7-183c121b2581,C2936,78.72,EUR,Walmart,Travel,2026-02-24 10:26:06.372280,success,NONE,CA,web,False
4232bdce-738d-4be2-a7a5-52a793de9bcc,C4691,367.77,USD,Uber,Utilities,2026-08-18 10:26:06.372283,success,NONE,DE,web,False
a25ce080-a647-46ca-a202-ca95b48e7a2d,C5135,234.91,EUR,Starbucks,Travel,2026-05-11 10:26:06.372287,failed,E002,JP,web,True
91f6d136-5fb8-4733-9e0d-c98b115a0701,C4307,402.07,EUR,Costco,Groceries,2026-02-16 10:26:06.372291,pending,NONE,JP,mobile,False
f6b5e226-4a4a-4772-82ab-b20494811dab,C6808,21.17,USD,Costco,Dining,2026-06-30 10:26:06.372295,failed,E003,CA,tablet,True
dfe79048-6a5a-466a-948c-8916b1410aa3,C2929,125.15,GBP,Costco,Travel,2026-02-02 10:26:06.372299,pending,NONE,CA,tablet,False
063b3986-07cd-4bdd-93eb-fbd0cc083c85,C1046,117.52,GBP,Apple,Electronics,2026-03-12 10:26:06.372303,failed,E001,UK,web,True
